iter	Passed	Remaining
0	1	1336
1	2	1201
2	3	1089
3	4	1018
4	4	978
5	5	962
6	6	936
7	7	916
8	8	898
9	8	881
10	9	869
11	10	861
12	11	859
13	12	855
14	12	848
15	13	846
16	14	853
17	15	867
18	16	872
19	17	870
20	18	864
21	19	863
22	20	863
23	21	872
24	22	868
25	23	866
26	24	873
27	25	875
28	26	874
29	27	874
30	27	871
31	28	871
32	29	867
33	30	864
34	31	858
35	31	854
36	32	853
37	33	851
38	34	849
39	35	849
40	36	846
41	36	842
42	37	839
43	38	836
44	39	832
45	40	830
46	40	828
47	41	828
48	42	824
49	43	827
50	44	826
51	45	825
52	46	825
53	47	823
54	47	822
55	48	819
56	49	823
57	50	820
58	51	818
59	52	817
60	52	811
61	53	808
62	54	806
63	54	804
64	55	804
65	56	803
66	57	805
67	58	804
68	59	802
69	60	803
70	61	805
71	62	806
72	63	806
73	64	812
74	66	814
75	66	814
76	67	813
77	68	811
78	69	813
79	70	811
80	71	809
81	72	807
82	72	805
83	73	803
84	74	802
85	75	803
86	76	803
87	77	801
88	78	800
89	78	798
90	79	794
91	80	793
92	81	793
93	81	789
94	82	786
95	83	787
96	84	790
97	86	792
98	86	791
99	87	791
100	88	791
101	89	788
102	90	785
103	90	781
104	91	777
105	91	775
106	92	774
107	93	773
108	94	775
109	95	775
110	96	772
111	97	769
112	98	770
113	99	771
114	100	774
115	103	789
116	104	789
117	105	788
118	106	787
119	107	785
120	107	782
121	108	779
122	109	778
123	109	776
124	110	775
125	111	773
126	112	776
127	114	777
128	115	777
129	116	781
130	118	784
131	119	787
132	120	787
133	121	785
134	122	782
135	122	779
136	123	776
137	123	774
138	124	771
139	125	768
140	125	766
141	126	766
142	127	766
143	129	768
144	130	768
145	130	765
146	131	763
147	132	760
148	132	757
149	133	754
150	134	753
151	134	751
152	135	751
153	136	749
154	137	747
155	137	744
156	138	742
157	138	739
158	139	736
159	139	734
160	140	734
161	141	733
162	144	740
163	145	743
164	146	742
165	147	741
166	148	739
167	149	738
168	149	735
169	150	733
170	151	732
171	152	731
172	152	731
173	153	729
174	154	730
175	156	734
176	157	733
177	158	732
178	159	731
179	160	730
180	161	729
181	161	727
182	162	726
183	163	725
184	164	724
185	165	722
186	165	721
187	166	719
188	167	718
189	168	717
190	169	719
191	170	719
192	172	722
193	173	722
194	174	721
195	175	720
196	176	719
197	177	718
198	178	717
199	179	716
200	179	715
201	180	714
202	181	713
203	182	711
204	183	710
205	184	710
206	185	709
207	186	708
208	187	707
209	187	707
210	197	737
211	198	736
212	199	735
213	199	734
214	201	734
215	202	735
216	203	735
217	205	736
218	206	735
219	207	736
220	208	735
221	209	734
222	210	733
223	211	731
224	211	729
225	212	728
226	214	729
227	215	730
228	216	729
229	217	728
230	218	727
231	219	726
232	220	725
233	220	723
234	221	721
235	222	720
236	223	719
237	224	718
238	225	717
239	225	715
240	227	715
241	228	714
242	229	713
243	230	714
244	231	714
245	232	713
246	233	712
247	234	711
248	236	711
249	236	710
250	237	709
251	238	707
252	239	706
253	240	705
254	241	704
255	242	704
256	243	703
257	245	705
258	246	705
259	247	704
260	248	704
261	249	703
262	250	702
263	251	700
264	251	698
265	252	696
266	252	694
267	253	692
268	254	692
269	256	692
270	258	695
271	259	695
272	260	693
273	261	691
274	261	690
275	262	689
276	263	687
277	264	687
278	265	685
279	265	683
280	266	681
281	266	679
282	267	678
283	268	676
284	269	675
285	270	674
286	271	673
287	272	672
288	273	671
289	273	670
290	274	669
291	275	668
292	276	668
293	277	667
294	278	666
295	279	664
296	280	663
297	281	662
298	281	660
299	283	660
300	284	660
301	285	660
302	287	660
303	288	660
304	289	660
305	290	659
306	291	658
307	292	657
308	293	656
309	294	655
310	295	655
311	297	655
312	299	656
313	301	658
314	302	657
315	303	657
316	304	656
317	305	655
318	306	654
319	307	654
320	308	652
321	309	652
322	311	653
323	314	655
324	315	654
325	317	656
326	318	654
327	319	654
328	320	653
329	322	654
330	324	655
331	326	656
332	327	656
333	330	658
334	331	657
335	331	655
336	332	655
337	334	654
338	336	655
339	337	655
340	339	656
341	341	657
342	342	656
343	344	656
344	344	654
345	345	653
346	346	652
347	347	650
348	348	650
349	350	650
350	351	649
351	352	649
352	354	649
353	355	648
354	356	647
355	357	646
356	358	646
357	359	644
358	360	644
359	366	651
360	374	662
361	375	662
362	376	661
363	379	662
364	384	669
365	386	669
366	387	668
367	388	667
368	390	667
369	391	667
370	399	677
371	401	677
372	402	677
373	404	676
374	405	675
375	406	674
376	410	677
377	414	681
378	415	681
379	417	680
380	418	679
381	419	677
382	420	676
383	424	680
384	426	681
385	428	682
386	430	681
387	431	680
388	432	679
389	433	677
390	434	676
391	436	676
392	437	676
393	439	675
394	439	673
395	440	671
396	440	669
397	441	668
398	442	666
399	443	664
400	443	662
401	444	661
402	445	659
403	446	658
404	448	659
405	450	658
406	451	657
407	452	656
408	453	655
409	454	653
410	454	651
411	455	650
412	456	648
413	456	646
414	457	644
415	457	642
416	458	640
417	458	639
418	459	637
419	462	638
420	463	637
421	464	636
422	465	635
423	466	633
424	467	632
425	467	630
426	468	628
427	469	627
428	470	625
429	471	624
430	471	622
431	472	621
432	473	619
433	473	618
434	475	617
435	476	616
436	478	616
437	480	616
438	481	615
439	483	615
440	484	614
441	485	612
442	486	611
443	487	611
444	489	610
445	490	609
446	492	609
447	493	607
448	494	606
449	495	605
450	495	603
451	496	602
452	497	600
453	497	598
454	498	596
455	498	595
456	499	593
457	500	592
458	501	591
459	503	591
460	504	590
461	505	588
462	506	586
463	506	585
464	507	584
465	508	582
466	509	581
467	509	579
468	510	577
469	510	576
470	511	574
471	512	573
472	516	575
473	518	574
474	519	573
475	520	572
476	520	571
477	521	569
478	522	568
479	523	566
480	523	565
481	524	563
482	525	562
483	526	560
484	528	561
485	529	560
486	530	559
487	532	558
488	533	557
489	534	556
490	535	554
491	536	553
492	537	552
493	537	550
494	538	549
495	539	547
496	540	546
497	540	545
498	543	545
499	544	544
500	545	543
501	547	543
502	548	542
503	549	540
504	550	539
505	551	537
506	551	536
507	552	535
508	553	533
509	553	532
510	554	530
511	555	529
512	557	528
513	558	528
514	560	528
515	562	527
516	562	525
517	563	524
518	563	522
519	564	521
520	565	519
521	566	518
522	566	517
523	567	515
524	569	514
525	570	514
526	571	513
527	573	512
528	574	511
529	575	510
530	576	509
531	578	508
532	578	507
533	579	505
534	580	504
535	580	502
536	581	501
537	583	500
538	584	500
539	586	499
540	587	498
541	588	497
542	589	496
543	590	495
544	591	494
545	592	492
546	593	491
547	594	490
548	595	489
549	597	488
550	600	489
551	601	488
552	602	487
553	603	486
554	605	485
555	606	484
556	607	483
557	608	482
558	610	481
559	610	480
560	613	480
561	614	479
562	615	477
563	616	476
564	617	475
565	618	473
566	619	473
567	620	471
568	621	470
569	621	469
570	622	467
571	623	466
572	625	465
573	626	464
574	627	463
575	628	462
576	629	461
577	630	460
578	631	458
579	632	457
580	632	456
581	633	455
582	634	453
583	634	452
584	635	450
585	635	449
586	636	447
587	638	447
588	639	446
589	641	445
590	643	445
591	644	443
592	645	442
593	646	441
594	647	440
595	647	439
596	648	437
597	649	436
598	651	436
599	652	434
600	654	434
601	655	433
602	657	432
603	657	431
604	658	430
605	659	428
606	660	427
607	660	425
608	661	424
609	661	423
610	662	421
611	663	420
612	665	419
613	666	419
614	667	418
615	669	417
616	670	416
617	671	415
618	672	413
619	673	412
620	674	411
621	674	410
622	675	409
623	676	407
624	677	406
625	677	404
626	678	403
627	679	402
628	679	401
629	681	399
630	682	398
631	683	397
632	683	396
633	684	395
634	684	393
635	685	392
636	685	390
637	686	389
638	687	388
639	687	386
640	688	385
641	689	384
642	690	383
643	691	382
644	692	381
645	693	379
646	694	378
647	694	377
648	695	376
649	696	375
650	697	373
651	698	372
652	699	371
653	700	370
654	700	369
655	701	367
656	702	366
657	703	365
658	704	364
659	705	363
660	706	362
661	708	361
662	709	360
663	710	359
664	711	358
665	711	357
666	712	355
667	713	354
668	714	353
669	715	352
670	715	351
671	716	349
672	717	348
673	718	347
674	719	346
675	719	344
676	720	343
677	721	342
678	722	341
679	723	340
680	724	339
681	724	338
682	725	336
683	726	335
684	727	334
685	727	333
686	728	331
687	728	330
688	729	329
689	729	327
690	730	326
691	731	325
692	731	324
693	732	323
694	733	321
695	734	320
696	735	319
697	736	318
698	736	317
699	737	315
700	737	314
701	738	313
702	738	312
703	739	310
704	740	309
705	740	308
706	741	307
707	742	306
708	742	304
709	743	303
710	744	302
711	744	301
712	745	300
713	746	298
714	746	297
715	747	296
716	747	295
717	748	293
718	748	292
719	749	291
720	750	290
721	751	289
722	752	288
723	753	287
724	753	285
725	754	284
726	754	283
727	755	282
728	756	281
729	757	280
730	758	279
731	758	277
732	759	276
733	760	275
734	761	274
735	761	273
736	762	271
737	762	270
738	763	269
739	763	268
740	764	267
741	765	266
742	765	264
743	766	263
744	767	262
745	767	261
746	768	260
747	769	259
748	769	258
749	770	256
750	771	255
751	772	254
752	772	253
753	773	252
754	773	251
755	774	249
756	774	248
757	775	247
758	776	246
759	777	245
760	777	244
761	778	243
762	779	242
763	779	240
764	780	239
765	780	238
766	781	237
767	781	236
768	782	235
769	783	233
770	783	232
771	784	231
772	785	230
773	786	229
774	786	228
775	787	227
776	788	226
777	788	225
778	789	223
779	790	222
780	790	221
781	791	220
782	791	219
783	792	218
784	792	217
785	793	216
786	794	215
787	795	213
788	796	212
789	796	211
790	797	210
791	797	209
792	798	208
793	798	207
794	799	206
795	800	205
796	800	203
797	801	202
798	801	201
799	802	200
800	803	199
801	804	198
802	804	197
803	805	196
804	806	195
805	807	194
806	807	193
807	808	192
808	809	191
809	809	189
810	810	188
811	811	187
812	812	186
813	812	185
814	813	184
815	814	183
816	814	182
817	815	181
818	815	180
819	816	179
820	816	178
821	817	177
822	818	175
823	818	174
824	819	173
825	820	172
826	820	171
827	821	170
828	822	169
829	823	168
830	824	167
831	824	166
832	825	165
833	825	164
834	826	163
835	827	162
836	827	161
837	828	160
838	829	159
839	830	158
840	831	157
841	832	156
842	832	155
843	833	154
844	833	152
845	834	151
846	834	150
847	835	149
848	836	148
849	836	147
850	837	146
851	838	145
852	839	144
853	839	143
854	840	142
855	841	141
856	841	140
857	842	139
858	842	138
859	843	137
860	844	136
861	844	135
862	845	134
863	846	133
864	846	132
865	847	131
866	848	130
867	849	129
868	849	128
869	850	127
870	850	126
871	851	124
872	852	123
873	853	122
874	853	121
875	854	120
876	855	120
877	856	119
878	857	118
879	858	117
880	859	116
881	860	115
882	860	114
883	861	113
884	861	111
885	862	110
886	862	109
887	863	108
888	864	107
889	865	106
890	866	105
891	867	104
892	868	104
893	869	103
894	870	102
895	871	101
896	872	100
897	872	99
898	873	98
899	874	97
900	875	96
901	876	95
902	876	94
903	877	93
904	878	92
905	879	91
906	880	90
907	881	89
908	882	88
909	883	87
910	884	86
911	884	85
912	885	84
913	885	83
914	886	82
915	886	81
916	887	80
917	888	79
918	888	78
919	889	77
920	890	76
921	891	75
922	891	74
923	892	73
