iter	Passed	Remaining
0	158	158386
1	160	79895
2	163	54242
3	165	41194
4	166	33163
5	167	27737
6	168	23840
7	168	20916
8	170	18797
9	172	17064
10	174	15688
11	176	14524
12	179	13623
13	180	12743
14	182	11985
15	184	11333
16	185	10734
17	187	10243
18	189	9805
19	191	9376
20	192	8964
21	193	8592
22	194	8256
23	197	8014
24	199	7761
25	200	7510
26	202	7286
27	204	7112
28	206	6901
29	207	6699
30	208	6503
31	211	6406
32	213	6253
33	216	6140
34	217	6004
35	218	5863
36	220	5741
37	221	5613
38	227	5608
39	230	5538
40	233	5472
41	241	5497
42	244	5438
43	246	5360
44	248	5274
45	249	5178
46	250	5084
47	255	5070
48	258	5010
49	261	4959
50	262	4887
51	263	4812
52	265	4750
53	268	4703
54	270	4642
55	273	4610
56	275	4558
57	276	4495
58	277	4430
59	282	4420
60	283	4359
61	286	4333
62	288	4296
63	290	4242
64	291	4186
65	292	4140
66	295	4113
67	299	4100
68	301	4072
69	303	4036
70	308	4035
71	310	4003
72	314	3995
73	317	3970
74	318	3931
75	322	3920
76	323	3882
77	326	3854
78	328	3830
79	330	3796
80	331	3756
81	332	3718
82	333	3687
83	337	3683
84	339	3655
85	341	3624
86	342	3595
87	343	3563
88	344	3529
89	346	3503
90	351	3509
91	358	3533
92	373	3642
93	391	3777
94	400	3815
95	407	3839
96	414	3854
97	417	3841
98	421	3837
99	424	3816
100	428	3812
101	431	3800
102	434	3787
103	436	3763
104	438	3736
105	441	3720
106	443	3702
107	447	3697
108	449	3678
109	453	3670
110	455	3650
111	458	3632
112	460	3612
113	461	3588
114	463	3566
115	466	3555
116	470	3550
117	472	3533
118	474	3512
119	476	3492
120	489	3553
121	491	3539
122	500	3569
123	504	3561
124	505	3536
125	506	3511
126	510	3506
127	512	3488
128	513	3469
129	515	3451
130	516	3429
131	518	3406
132	522	3406
133	527	3411
134	529	3394
135	531	3376
136	533	3357
137	537	3356
138	539	3343
139	541	3325
140	543	3308
141	544	3289
142	545	3267
143	546	3246
144	548	3234
145	551	3224
146	553	3210
147	554	3191
148	555	3173
149	556	3155
150	557	3136
151	558	3117
